Node: birth_year, gender, group, cnt, None, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, ethnicity, group, cnt, None, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, name, group, cnt, None, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, number, group, sum, None, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, number, group, cnt, None, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, rank, group, sum, None, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, rank, group, cnt, None, line, 0.0 Score: 0 Less Than: 0
Node: gender, number, group, avg, None, pie, 0.0 Score: 0 Less Than: 0
Node: gender, rank, group, avg, None, pie, 0.0 Score: 0 Less Than: 0
Node: ethnicity, number, group, avg, None, pie, 0.0 Score: 0 Less Than: 0
Node: ethnicity, rank, group, avg, None, pie, 0.0 Score: 0 Less Than: 0
Node: name, number, group, avg, None, pie, 0.0 Score: 0 Less Than: 0
Node: name, rank, group, avg, None, pie, 0.0 Score: 0 Less Than: 0
Node: birth_year, number, None, None, orderX, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, number, None, None, orderY, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, rank, None, None, orderX, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, rank, None, None, orderY, line, 0.0 Score: 0 Less Than: 0
Node: number, rank, None, None, orderX, line, 0.0 Score: 0 Less Than: 0
Node: number, rank, None, None, orderY, line, 0.0 Score: 0 Less Than: 0
Node: rank, number, None, None, orderX, line, 0.0 Score: 0 Less Than: 0
Node: rank, number, None, None, orderY, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, gender, group, cnt, orderX, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, gender, group, cnt, orderY, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, ethnicity, group, cnt, orderX, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, ethnicity, group, cnt, orderY, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, name, group, cnt, orderX, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, name, group, cnt, orderY, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, number, group, sum, orderX, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, number, group, sum, orderY, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, number, group, cnt, orderX, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, number, group, cnt, orderY, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, rank, group, sum, orderX, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, rank, group, sum, orderY, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, rank, group, cnt, orderX, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, rank, group, cnt, orderY, line, 0.0 Score: 0 Less Than: 0
Node: gender, number, group, avg, orderY, pie, 0.0 Score: 0 Less Than: 0
Node: gender, rank, group, avg, orderY, pie, 0.0 Score: 0 Less Than: 0
Node: ethnicity, number, group, avg, orderY, pie, 0.0 Score: 0 Less Than: 0
Node: ethnicity, rank, group, avg, orderY, pie, 0.0 Score: 0 Less Than: 0
Node: name, number, group, avg, orderY, pie, 0.0 Score: 0 Less Than: 0
Node: name, rank, group, avg, orderY, pie, 0.0 Score: 0 Less Than: 0
