Price,Place,Beds,Bath,Sq.Ft
289900,Copperfield,2,2,773
489000,Goodwin By Anthem,3,2.5,1157
550000,Bridlewood,3,2.5,1433
274900,Saddle Ridge,2,1,691
185000,Bankview,2,1,968
263000,Downtown East Village,2,1,430
224900,Redstone,1,1,528
294900,Lower Mount Royal,1,1,620
475900,Parkhill,3,2,879
1050000,Scarboro,4,3,1656
469900,Martindale,3,2.5,1315
689900,Cranston,4,3.5,2160
1185000,Parkhill,4,4,2466
735000,Cranston,5,5.5,2301
609900,Glacier Ridge,3,2.5,1452
697000,Silver Springs,4,4,2163
479900,Canyon Meadows,3,1.5,1377
1029000,Altadore,4,3.5,1777
200000,Dalhousie,1,1,631
360000,Cranston,3,2,1076
499900,Beltline,3,2.5,1572
232000,Mayland Heights,2,2,818
1290000,West Hillhurst,8,4,2505
445000,Garrison Woods,2,2,1094
735000,Acadia,4,3,1054
1595000,Capitol Hill,4,5.5,3010
359800,Dalton Mews,3,2,910
200000,Dalhousie,1,1,618
469900,Sage Hill,2,2.5,1321
900000,Mahogany,2,2,1053
759900,Saddle Ridge,3,2.5,2051
650000,Bowness,2,2,951
218888,Hillhurst,1,1,635
235532,Dalhousie,2,1,856
889000,Legacy,4,2.5,2442
899900,Sherwood,5,3.5,2570
829900,Homestead,4,3,2195
315000,Varsity,1,1,780
290000,Sunnyside,2,1,819
699900,Taradale,4,3.5,1806
650000,Thorncliffe,5,2.5,1363
1680000,Winston Heights/Mountview,3,3.5,2463
253000,Dalhousie,2,1.5,896
679900,Highwood,5,2,961
534900,Temple,3,1.5,1244
420000,Windsor Park,2,2.5,1330
345000,Beltline,1,1,852
449900,Silver Springs,3,2,928
639000,Evanston,3,2.5,1827
354900,Seton,2,2,829
789900,Taradale,6,3.5,2355
899800,Saddle Ridge,4,4,2808
245000,Manchester,2,2,831
355000,Beltline,2,1,905
1250000,Banff Trail,5,3.5,2340
1150000,Killarney/Glengarry,4,3.5,1917
599900,Marlborough Park,5,2.5,1036
334900,Arbour Lake,2,2,863
329888,Silverado,2,2,756
250000,South CA,1,1,447
725000,Scenic Acres,4,2.5,1978
868600,Renfrew,4,3.5,1807
1995000,Wildwood,5,4.5,3114
300000,Lookout At Christie Park,1,1,900
549900,Ambleton,3,2.5,1450
1249800,Currie Barracks,4,3.5,2365
269900,Dover,2,2,977
414900,Beltline,2,2,1039
999999,Hamptons,6,3.5,2456
319900,Copperfield,2,2,768
339900,Sunalta,2,2,868
349900,Pineridge,3,2,763
1020000,Arbour Lake,5,4,2336
639999,Canyon Meadows,4,2.5,1363
699900,Acadia,3,3.5,1127
599900,Whitehorn,5,2.5,1207
190000,Windsor Park,1,1,615
499900,Rangeview,3,2.5,1249
1099000,Hillhurst,5,3,962
399900,Panorama Hills,3,2.5,1140
429900,Dover,3,2,1000
849800,Valley Ridge,3,2.5,2114
1025000,Rosscarrock,4,3.5,2017
309900,Mckenzie Towne,2,2,923
675000,Luna,2,2.5,1606
435000,Copperfield,3,2.5,1244
1388000,Bankview,3,2.5,3269
1179990,Hawkwood,4,3,1941
925000,Mahogany,5,3.5,2344
635500,Sunnyside,2,2,1005
399900,Arbour Lake,3,2.5,1157
529900,Southwood,4,2.5,1091
519900,Currie Barracks,1,1,948
259900,Highland Park,2,2,1022
824900,Mount Pleasant,4,3.5,1757
415000,Pinnacle At Mount Douglas,2,1.5,1205
739900,Glamorgan,4,2,1048
425000,Falconridge,3,1.5,1018
624900,Evanston,3,2.5,1474
244900,Legacy,2,1,569
236888,Taradale,2,2,877
749900,Hamptons,5,3.5,1871
365000,Seton,2,2,766
599000,Tuscany,3,2.5,1148
219900,Canyon Meadows,2,2,820
629900,Rangeview,4,3.5,1510
830000,Redstone,6,4,2479
289900,Copperfield,2,2,776
475000,Deer Run,3,2,960
399800,Skywood Estates,2,2,1101
374000,Fresco Gardens - Taradale,2,2,994
724900,Oakridge,4,2.5,1352
539000,Southview,5,2,1083
599000,Beddington Heights,3,2.5,1713
999900,Aspen Woods,5,3.5,2487
539900,Huntington Hills,4,2,1023
344900,Temple,3,2,885
635000,Temple,5,3,1245
299000,Panorama Hills,2,2,844
789999,Nolan Hill,4,3.5,2069
399900,Abbeydale,2,2,902
545000,Bankview,2,1.5,1005
389900,Brentwood,2,2,638
620000,Deer Run,4,2.5,2324
525000,Applewood Park,4,3,1246
